Molecule,"Electronic state","Reduced mass","Te (cm^{-1})","omega_e (cm^{-1})","omega_ex_e (cm^{-1})","Be (cm^{-1})","alpha_e (cm^{-1})","De (10^{-7}cm^{-1})","Re (\AA)","D0 (eV)","IP (eV)",Reference,"Date of reference"
MgD,"B' $^2\Sigma^+$",1.85807372,22410.3,597.5,6.05,1.35,,250,2.596,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
MgO,"B $^1\Sigma^+$",9.9577628,19984,824.08,4.76,0.5822,0.0045,11.4,1.7371,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAR 1977"
PbO,"B $1$",14.85263923,22285,2.2,0.54,0.2646,0.0026,3,2.071,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PbS,"B $1$",27.7119401,21847.4,282.17,0.856,0.09992,0.000602,,2.467,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PS,"X $^2\Pi$",15.7325008,0,739.1,2.96,0.29632,,2,1.9009,4.54,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PS,"X $^2\Pi$",15.7325008,320.8,739.1,2.96,0.29674,,2,1.9009,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PS,"B $^2\Pi$",15.7325008,22894,512.2,2.15,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PS,"B $^2\Pi$",15.7325008,22987.7,512.2,2.15,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PS,"C $^2\Sigma$",15.7325008,34686.5,534.8,3.31,0.26442,0.00196,2.5,2.013,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
ScO,"A' $^2\Delta$",11.79747757,15029.8,845.9,4.9,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
ScO,"A' $^2\Delta$",11.79747757,15029.8,845.9,4.9,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
ScO,"B $^2\Sigma^+$",11.79747757,20645.1,825.47,4.21,0.48308,0.0032,6.74,1.71986,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
SiF,"a $^4\Sigma^-$",11.3148108,29805.06,863.1,5.37,0.57862,0.00502,10.5,1.6046,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SiF,"B $^2\Sigma^+$",11.3148108,34561.5,1011.23,4.825,0.62707,0.00462,10.1,1.5414,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SiS,"X $^1\Sigma^+$",14.9206889,0,749.64,2.577,0.30352788,0.00147308,2.01,1.929321,6.42,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiS,"a $^3\Pi_1$",14.9206889,30239.2,,,0.2818,,,2.0023,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiS,"D $^1\Pi$",14.9206889,35026.86,513.12,2.93,0.26647,0.00216,2.91,2.0591,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SnCl,"A $^2\Delta$",27.0731195,26695,169.1,6.8,,,,2.619,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SnCl,"A $^2\Delta$",27.0731195,27063,263.6,6.8,,,,2.619,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
YbD,"D $^2\Pi_{1/2}$",1.99104715,15326.4,957.9,9.7,2.122,0.039,418,1.997,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1976"
YbD,"D $^2\Pi_{3/2}$",1.99104715,16778.6,945.5,15.6,2.09241,0.0472,396.2,2.0003,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1976"
YO,"B $^2\Sigma^+$",13.55606469,20791,765.5,8,0.3722,,3.8,1.8279,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1975"
ZnH,"B $^2\Sigma^+$",0.99218372,27587.7,120.7,16.5,3.288,,1400,2.273,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1975"
AuS,"X $^2\Pi_{3/2}$",229.0315687,0,410.19,1.65,0.1315363,,0.64,2.156,3.089,,"A J. Parsons, S. P. Gelason, T. D. Varberg, Molecular Physics, 116:23-24, 3547-3553","Jan 2018"
BeS,"B $^1\Sigma$",7.0304599,25941.6,851.35,4.85,0.72894,0.00604,21.4,1.81368,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",1963
VN,"X $^3\Delta_1$",10.984,,1033,6.7,,,,1.57365,,,"B. Simard, C. Masoni, P.A. Hackett, Journal of Molecular Spectroscopy 136, 44 (1989)",1989
TiN,"X $^2\Sigma^+$",10.8379,0,,,,,,1.582,,,"T. M. Dunn, L. K. Hanson, R. A. Rubinson, J. Phys. 48, 1657 (1970)",1970
TiN,"X $^2\Sigma^+$",10.8379,0,1039,,,,,,,,"A. E. Douglas, P. M. Veilleti, J. Chem. Phys. 72, 5378 (1980)",1980
SrH,"$A^2\Pi$",0.99640162,13500.571,1253.908,18.025,3.76113,0.08136,1353.37,2.1461,,,"O. Appelblad, L. Klynnig, J. W. C. Johns, Physica Scripta, 33, 415-419, 1986",1986
AlH,"A$^1\Pi$",0.97153602,23638.32905,1416.49564,166.86,6.386417,0.732541,3897,1.6483,,,"W. Szajna, M. Zachwieja, Eur. Phys. J. D, 55, 549-555 (2009)",2009
YbF,"$X^2\Sigma^+$",17.1275,0,506.6674,2.2451,0.242191,0.00155,2.388,2.0161,,,"K. L. Dunfield, et al. J. Mol. Spec. 174, 433-445 (1995)",1995
YbF,"A$^2\Pi_{1/2}$",17.1275,18788.6502,531.35,2.721,0.2476292,0.0016,1.9948,1.996,,,"T. Ma, et al., J. Phys. Chem. A, 113, 8038-8044",2009
SrF,"$A^2\Pi_{1/2}$",15.6221112,15072.09,509.38,2.18,0.2536135,0.00156,2.546,2.062729143,,,"John F. Barry, PhD thesis, Yale University, 2013",2013
FeH,"X $^4\Delta_{7/2}$",0.9901,0,1831.8,34.86,,,,,,,"Dulick M. et al, ApJ, 594, 651 (2003)","Sep 2003"
AlH,"$C^1\Sigma^+$",0.97153602,44675.3711,1575.3357,125.5,6.66804,6.66804,,1.613132,,,"W. Szajna, M. Zachwieja, J. Mol. Spectrosc., 260, 130-134 (2010)",2010
LiH,"X $^1\Sigma^+$",0.88123818,0,1405.07781,22.68035,7.513395,0.215263,20287.7,1.595584,2.4288,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)","AUG 1992"
LiH,"A $^1\Sigma^+$",0.88123818,26509.77,234.50825,-28.8135,2.800056,-0.1208,8681.6,2.59628,1.0601,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)","AUG 1992"
LiH,"B $^1\Pi$",0.88123818,34902.48,262.474,79.904,3.42817,1.103,,2.3834,0.02175,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)","AUG 1992"
LiH,"X $^1\Sigma^+$",0.86319755,0,1419.68479,23.15436,7.67041,0.222047,,1.595584,2.42793,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)","AUG 1992"
LiH,"A $^1\Sigma^+$",0.86319755,26509.68,236.93379,-29.41569,2.858445,-0.124607,,2.59647,1.05992,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)","AUG 1992"
LiH,"B $^1\Pi$",0.86319755,34902.5,265.202,81.574,3.49982,1.1377,,2.3834,0.02162,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)","AUG 1992"
LiD,"X $^1\Sigma^+$",1.56487053,0,1055.00696,13.18954,4.233182,0.091882,,1.595304,2.45102,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)","AUG 1992"
LiD,"B $^1\Pi$",1.56487053,34906.13,197.142,44.953,1.92633,0.45854,,2.3821,0.02516,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)","AUG 1992"
LiD,"X $^1\Sigma^+$",1.50887167,0,1074.40587,13.67905,4.390281,0.097044,,1.595304,2.45102,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)","AUG 1992"
LiD,"A $^1\Sigma^+$",1.50887167,26512.44,181.8458,-15.88681,1.657505,-0.042256,,2.5971,1.06452,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)","AUG 1992"
LiD,"B $^1\Pi$",1.50887167,34906.1,200.767,46.621,1.99782,0.4843,,2.3821,0.02497,,"W. C. Stwalley, W. T. Zemke, J. Phys. Chem. Ref. Data 22, 87 (1993)","AUG 1992"
TiH,"X$^4\Phi$",0.987,0,1548.9,20.2,5.4975,0.286,2560,1.779,,,"A. Burrows, M. Dulick, C.W. Bauschlicher, Jr., P.F. Bernath, R.S. Ram, C.M. Sharp and J.A. Milsom. Spectroscopic Constants, Abundances and Opacities of the TiH Molecule. Astrophys. J 624, 988-1002 (2005). ",2005
TiH,"A$^4\Phi$",0.987,10595,1342.6,21.3,4.9915,0.274,2600,1.867,,,"A. Burrows, M. Dulick, C.W. Bauschlicher, Jr., P.F. Bernath, R.S. Ram, C.M. Sharp and J.A. Milsom. Spectroscopic Constants, Abundances and Opacities of the TiH Molecule. Astrophys. J 624, 988-1002 (2005). ",2005
SrCl,"X$^2\Sigma^{+}$",25.2402,0,302.63,0.966,0.1015588,0.000452,0.458,2.57,,,"H-U Sch�tze-Pahlmann et al. Millimeter wave spectra of the 2Σ radicals SrF and SrCl”. , Chemical Physics Letters 93.1 (1982), pp. 74–77.",1982
SrCl,"A$^2\Pi$",25.2402,14966.727,309.625,0.996,0.1029887,0.0004606,0.4594,2.55,,,"J.O. Schr�der, B. Zeller, and W.E. Ernst, The A2Pi-X2Sigma  transition of SrCl: Rotational analysis and deperturbation”. In: Journal of Molecular Spectroscopy 127.1 (1988), pp. 255–271. issn: 0022-2852.",1988
AlF,"a $^3\Pi$",11.148474,27239.4529,830.807,4.64364,0.557376,0.004798,,1.64708,,,"J. Chem. Phys. 156, 124306 (2022)","Feb 2022"
AlF,"b $^3 \Sigma^+$",11.148474,44813.2,786.37,7.64,0.5628,,,1.6391,,,"Phys. Scr. 10, 86 (1974)","Feb 1974"
AlF,"c $^3\Sigma^+$",11.148474,54957.72,933.66,4.81,0.58861,,,1.6028,,,"Phys. Scr. 10, 86 (1974)","Feb 1974"
AlF,"d $^3\Pi$",11.148474,62434.6,944.5,5.21,0.5931,0.005,,1.594,,,"J. Phys. Chem. A 128, 2752 (2024)","March 2024"
